,user_input,retrieved_contexts,response,faithfulness,answer_relevancy
0,¿Por qué es importante dormir bien?,"['Dormir entre 7 y 9 horas diarias permite mantener un sistema inmunológico fuerte, mejorar el estado de ánimo y favorecer el rendimiento cognitivo. La privación de sueño puede causar fatiga, irritabilidad y dificultades en la concentración.', 'Entre los hábitos que mejoran la calidad del sueño se incluyen mantener horarios regulares, evitar pantallas antes de dormir, reducir el consumo de cafeína y crear un ambiente adecuado en la habitación.', 'Incluir pausas activas durante la jornada laboral o realizar caminatas breves después de las comidas puede marcar una diferencia importante en el bienestar general.', 'La privación de sueño puede causar fatiga, irritabilidad y dificultades en la concentración. Entre los hábitos que mejoran la calidad del sueño se incluyen mantener horarios regulares, evitar pantallas antes de dormir, reducir el consumo de cafeína y crear un ambiente adecuado en la habitación.']","Dormir bien permite mantener un sistema inmunológico fuerte, mejorar el estado de ánimo y favorecer el rendimiento cognitivo.
",,
1,¿Qué beneficios aporta caminar 30 minutos diarios?,"['Incluir pausas activas durante la jornada laboral o realizar caminatas breves después de las comidas puede marcar una diferencia importante en el bienestar general.', 'Caminar 30 minutos al día mejora la circulación, ayuda a regular el metabolismo y reduce el estrés. Los estiramientos aumentan la flexibilidad y previenen tensiones musculares.\n\nLa clave es mantenerse activo de forma constante. Incluir pausas activas durante la jornada laboral o realizar caminatas breves después de las comidas puede marcar una diferencia importante en el bienestar general.', 'El consumo recomendado puede variar según factores como la edad, la actividad física y el clima. Como regla general, se sugiere beber entre 6 y 8 vasos de agua al día, aunque las necesidades pueden aumentar durante el ejercicio o en ambientes calurosos.', 'El consumo recomendado puede variar según factores como la edad, la actividad física y el clima. Como regla general, se sugiere beber entre 6 y 8 vasos de agua al día, aunque las necesidades pueden aumentar durante el ejercicio o en ambientes calurosos. Además del agua, alimentos como frutas, verduras y sopas contribuyen a la hidratación diaria. Es importante reducir el consumo de bebidas azucaradas, ya que aportan calorías vacías y pueden interferir con la regulación del apetito.']","Caminar 30 minutos al día mejora la circulación, ayuda a regular el metabolismo y reduce el estrés.
",,
2,Sugiere snacks saludables.,"['Snacks Saludables\n\nElegir snacks saludables ayuda a controlar el hambre entre comidas y mantener niveles de energía estables. Las mejores opciones combinan nutrientes que aportan saciedad y beneficios nutricionales.', 'Snacks Saludables\n\nElegir snacks saludables ayuda a controlar el hambre entre comidas y mantener niveles de energía estables. Las mejores opciones combinan nutrientes que aportan saciedad y beneficios nutricionales.', 'Algunas alternativas incluyen frutas frescas, yogur natural, frutos secos, hummus con vegetales o tostadas integrales con aguacate. Estos alimentos proporcionan vitaminas, minerales y grasas saludables.\n\nEvitar productos ultraprocesados como papas fritas, galletas azucaradas o bebidas energéticas contribuye a una mejor salud metabólica y previene el exceso de ingesta calórica.', 'Algunas alternativas incluyen frutas frescas, yogur natural, frutos secos, hummus con vegetales o tostadas integrales con aguacate. Estos alimentos proporcionan vitaminas, minerales y grasas saludables. Evitar productos ultraprocesados como papas fritas, galletas azucaradas o bebidas energéticas contribuye a una mejor salud metabólica y previene el exceso de ingesta calórica.', 'a close up of a pile of assorted fruits and vegetables', 'three plates of food on a table with a bowl of sauce and a bowl of salad']","Frutas frescas, yogur natural, frutos secos, hummus con vegetales o tostadas integrales con aguacate.
",,
3,¿Qué diferencia hay entre carbohidratos simples y complejos?,"['Carbohidratos\n\nSon la principal fuente de energía del organismo. Los carbohidratos complejos, presentes en alimentos como la avena, el arroz integral y las legumbres, ofrecen una liberación de energía más sostenida. Los carbohidratos simples, como los azúcares refinados, provocan picos de glucosa y poca saciedad.\n\nProteínas', 'Macronutrientes\n\nLos macronutrientes son los nutrientes que el cuerpo requiere en grandes cantidades para funcionar correctamente. Se dividen en tres categorías principales: carbohidratos, proteínas y grasas. Carbohidratos\n\nSon la principal fuente de energía del organismo. Los carbohidratos complejos, presentes en alimentos como la avena, el arroz integral y las legumbres, ofrecen una liberación de energía más sostenida. Los carbohidratos simples, como los azúcares refinados, provocan picos de glucosa y poca saciedad. Proteínas\n\nLas proteínas desempeñan un papel fundamental en la reparación de tejidos, el crecimiento muscular y la producción de enzimas y hormonas. Se encuentran en alimentos como pollo, pescado, huevos, tofu y legumbres.', 'Macronutrientes\n\nLos macronutrientes son los nutrientes que el cuerpo requiere en grandes cantidades para funcionar correctamente. Se dividen en tres categorías principales: carbohidratos, proteínas y grasas.\n\nCarbohidratos', 'La forma en que comemos afecta directamente nuestra salud a corto y largo plazo. Una dieta adecuada contribuye al fortalecimiento del sistema inmunológico, mejora el estado de ánimo, regula los procesos metabólicos y ayuda a mantener un peso saludable.']","Los carbohidratos complejos ofrecen una liberación de energía más sostenida, mientras que los carbohidratos simples provocan picos de glucosa y poca saciedad.
",,
4,¿Cómo contribuyen las frutas a la hidratación?,"['Incluir pausas activas durante la jornada laboral o realizar caminatas breves después de las comidas puede marcar una diferencia importante en el bienestar general.', 'Dormir entre 7 y 9 horas diarias permite mantener un sistema inmunológico fuerte, mejorar el estado de ánimo y favorecer el rendimiento cognitivo. La privación de sueño puede causar fatiga, irritabilidad y dificultades en la concentración.', 'Además del agua, alimentos como frutas, verduras y sopas contribuyen a la hidratación diaria. Es importante reducir el consumo de bebidas azucaradas, ya que aportan calorías vacías y pueden interferir con la regulación del apetito.', 'Sueño y Descanso\n\nEl sueño es un componente esencial del bienestar general. Durante la noche, el cuerpo realiza procesos de recuperación física, consolidación de memoria y regulación hormonal. Dormir entre 7 y 9 horas diarias permite mantener un sistema inmunológico fuerte, mejorar el estado de ánimo y favorecer el rendimiento cognitivo.']","Además del agua, alimentos como frutas, verduras y sopas contribuyen a la hidratación diaria.
",,
5,¿Cuánta agua se recomienda tomar al día?,"['Además del agua, alimentos como frutas, verduras y sopas contribuyen a la hidratación diaria. Es importante reducir el consumo de bebidas azucaradas, ya que aportan calorías vacías y pueden interferir con la regulación del apetito.', 'El consumo recomendado puede variar según factores como la edad, la actividad física y el clima. Como regla general, se sugiere beber entre 6 y 8 vasos de agua al día, aunque las necesidades pueden aumentar durante el ejercicio o en ambientes calurosos. Además del agua, alimentos como frutas, verduras y sopas contribuyen a la hidratación diaria. Es importante reducir el consumo de bebidas azucaradas, ya que aportan calorías vacías y pueden interferir con la regulación del apetito.', 'El consumo recomendado puede variar según factores como la edad, la actividad física y el clima. Como regla general, se sugiere beber entre 6 y 8 vasos de agua al día, aunque las necesidades pueden aumentar durante el ejercicio o en ambientes calurosos.', 'La forma en que comemos afecta directamente nuestra salud a corto y largo plazo. Una dieta adecuada contribuye al fortalecimiento del sistema inmunológico, mejora el estado de ánimo, regula los procesos metabólicos y ayuda a mantener un peso saludable.']","Como regla general, se sugiere beber entre 6 y 8 vasos de agua al día.
",,
6,¿Por qué es importante la actividad física ligera?,"['Actividad Física Ligera\n\nLa actividad física ligera incluye movimientos suaves como caminar, estiramientos o ejercicios de movilidad. Aunque son actividades de baja intensidad, ofrecen beneficios significativos para la salud.', 'Actividad Física Ligera\n\nLa actividad física ligera incluye movimientos suaves como caminar, estiramientos o ejercicios de movilidad. Aunque son actividades de baja intensidad, ofrecen beneficios significativos para la salud. Caminar 30 minutos al día mejora la circulación, ayuda a regular el metabolismo y reduce el estrés. Los estiramientos aumentan la flexibilidad y previenen tensiones musculares. La clave es mantenerse activo de forma constante.', 'Incluir pausas activas durante la jornada laboral o realizar caminatas breves después de las comidas puede marcar una diferencia importante en el bienestar general.', 'Sueño y Descanso\n\nEl sueño es un componente esencial del bienestar general. Durante la noche, el cuerpo realiza procesos de recuperación física, consolidación de memoria y regulación hormonal.']","Ofrecen beneficios significativos para la salud. Caminar 30 minutos al día mejora la circulación, ayuda a regular el metabolismo y reduce el estrés. Los estiramientos aumentan la flexibilidad y previenen tensiones musculares.
",,
7,¿Qué alimentos aportan grasas saludables?,"['Grasas\n\nLas grasas saludables, como las presentes en el aguacate, aceite de oliva y frutos secos, son esenciales para la absorción de vitaminas, la protección de órganos y la producción hormonal. Las grasas trans y saturadas en exceso pueden ser perjudiciales para la salud cardiovascular.', 'Grasas\n\nLas grasas saludables, como las presentes en el aguacate, aceite de oliva y frutos secos, son esenciales para la absorción de vitaminas, la protección de órganos y la producción hormonal. Las grasas trans y saturadas en exceso pueden ser perjudiciales para la salud cardiovascular.', 'Snacks Saludables\n\nElegir snacks saludables ayuda a controlar el hambre entre comidas y mantener niveles de energía estables. Las mejores opciones combinan nutrientes que aportan saciedad y beneficios nutricionales.', 'Snacks Saludables\n\nElegir snacks saludables ayuda a controlar el hambre entre comidas y mantener niveles de energía estables. Las mejores opciones combinan nutrientes que aportan saciedad y beneficios nutricionales.']","Aguacate, aceite de oliva y frutos secos.
",,
8,¿Qué hábitos mejoran la calidad del sueño?,"['La privación de sueño puede causar fatiga, irritabilidad y dificultades en la concentración. Entre los hábitos que mejoran la calidad del sueño se incluyen mantener horarios regulares, evitar pantallas antes de dormir, reducir el consumo de cafeína y crear un ambiente adecuado en la habitación.', 'Sueño y Descanso\n\nEl sueño es un componente esencial del bienestar general. Durante la noche, el cuerpo realiza procesos de recuperación física, consolidación de memoria y regulación hormonal.', 'Entre los hábitos que mejoran la calidad del sueño se incluyen mantener horarios regulares, evitar pantallas antes de dormir, reducir el consumo de cafeína y crear un ambiente adecuado en la habitación.', 'Sueño y Descanso\n\nEl sueño es un componente esencial del bienestar general. Durante la noche, el cuerpo realiza procesos de recuperación física, consolidación de memoria y regulación hormonal. Dormir entre 7 y 9 horas diarias permite mantener un sistema inmunológico fuerte, mejorar el estado de ánimo y favorecer el rendimiento cognitivo.']","Mantener horarios regulares, evitar pantallas antes de dormir, reducir el consumo de cafeína y crear un ambiente adecuado en la habitación.
",,
9,¿Qué papel tienen las proteínas en el cuerpo?,"['Proteínas\n\nLas proteínas desempeñan un papel fundamental en la reparación de tejidos, el crecimiento muscular y la producción de enzimas y hormonas. Se encuentran en alimentos como pollo, pescado, huevos, tofu y legumbres.\n\nGrasas', 'Macronutrientes\n\nLos macronutrientes son los nutrientes que el cuerpo requiere en grandes cantidades para funcionar correctamente. Se dividen en tres categorías principales: carbohidratos, proteínas y grasas. Carbohidratos\n\nSon la principal fuente de energía del organismo. Los carbohidratos complejos, presentes en alimentos como la avena, el arroz integral y las legumbres, ofrecen una liberación de energía más sostenida. Los carbohidratos simples, como los azúcares refinados, provocan picos de glucosa y poca saciedad. Proteínas\n\nLas proteínas desempeñan un papel fundamental en la reparación de tejidos, el crecimiento muscular y la producción de enzimas y hormonas. Se encuentran en alimentos como pollo, pescado, huevos, tofu y legumbres.', 'La forma en que comemos afecta directamente nuestra salud a corto y largo plazo. Una dieta adecuada contribuye al fortalecimiento del sistema inmunológico, mejora el estado de ánimo, regula los procesos metabólicos y ayuda a mantener un peso saludable.', 'Macronutrientes\n\nLos macronutrientes son los nutrientes que el cuerpo requiere en grandes cantidades para funcionar correctamente. Se dividen en tres categorías principales: carbohidratos, proteínas y grasas.\n\nCarbohidratos']","Desempeñan un papel fundamental en la reparación de tejidos, el crecimiento muscular y la producción de enzimas y hormonas.
",,
